2018-02-03,Wakefield 5 Mens,Hull University 3 Mens
2018-03-03,Wakefield 5 Mens,Lindum 5 Mens
2017-10-07,Wakefield 6 Mens,Lindum 5 Mens
2017-10-21,Wakefield 6 Mens,University of Leeds 2 Mens
2017-11-04,Wakefield 6 Mens,Leeds 8 Mens
2017-11-18,Wakefield 6 Mens,Lindum 6 Mens
2017-12-02,Wakefield 6 Mens,Wakefield 5 Mens
2018-01-13,Wakefield 6 Mens,Grimsby 2 Mens
2018-01-27,Wakefield 6 Mens,Kingston-upon-Hull 3 Mens
2018-02-10,Wakefield 6 Mens,Brigg 4 Mens
2018-02-24,Wakefield 6 Mens,Leodis Leeds 1 Mens
2018-03-10,Wakefield 6 Mens,Doncaster 6 Mens
2018-03-17,Wakefield 6 Mens,Hull University 3 Mens
2017-09-30,Wakefield 7 Mens,Sheffield University Bankers 7 Mens
2017-10-14,Wakefield 7 Mens,Huddersfield Dragons 4 Mens
2017-10-21,Wakefield 7 Mens,Leeds Adel 5 Mens
2017-11-04,Wakefield 7 Mens,Chapeltown 3 Mens
2017-11-18,Wakefield 7 Mens,Bradford 4 Mens
2017-12-02,Wakefield 7 Mens,Slazengers 4 Mens
2018-01-06,Wakefield 7 Mens,Chapeltown 4 Mens
2018-01-13,Wakefield 7 Mens,Worksop 2 Mens
2018-01-27,Wakefield 7 Mens,Leeds Adel 4 Mens
2018-02-24,Wakefield 7 Mens,Sheffield Hallam 8 Mens
2018-03-10,Wakefield 7 Mens,Halifax 4 Mens
2017-09-23,Wakefield 8 Mens Development,Brigg 5 Mens Development
2017-09-30,Wakefield 8 Mens Development,Rotherham 4 Mens Development
2017-10-14,Wakefield 8 Mens Development,Worksop 3 Mens Development
2017-10-28,Wakefield 8 Mens Development,Kingston-upon-Hull 4 Mens Development
2017-11-11,Wakefield 8 Mens Development,Doncaster 7 Mens Development
2017-11-25,Wakefield 8 Mens Development,Chesterfield 4 Mens Development
2018-01-06,Wakefield 8 Mens Development,Lindum 7 Mens Development
2018-01-20,Wakefield 8 Mens Development,Huddersfield Dragons 5 Mens Development
2018-02-03,Wakefield 8 Mens Development,Sheffield Hallam 9 Mens Development
2018-03-03,Wakefield 8 Mens Development,Kingston-upon-Hull 4 Mens Development
2018-03-10,Wakefield 8 Mens Development,Doncaster 7 Mens Development
