G2,0,11:30:00,11:30:00,2,F,2017-12-02
G3,0,13:00:00,13:00:00,4,M,2017-12-02
G4,1,15:00:00,14:30:00,3,F,2017-12-02
G5,0,16:30:00,16:30:00,0,M,2017-12-02
B1,0,10:00:00,10:00:00,1,F,2017-12-09
B2,0,11:30:00,11:30:00,2,M,2017-12-09
B3,1,13:30:00,13:00:00,6,F,2017-12-09
B4,0,15:00:00,15:00:00,3,M,2017-12-09
B5,0,16:30:00,16:30:00,0,F,2017-12-09
G1,0,10:00:00,10:00:00,1,M,2017-12-09
G2,0,11:30:00,11:30:00,2,F,2017-12-09
G3,0,13:00:00,13:00:00,4,M,2017-12-09
G4,1,15:00:00,14:30:00,3,F,2017-12-09
G5,0,16:30:00,16:30:00,0,M,2017-12-09
B1,0,10:00:00,10:00:00,1,F,2017-12-16
B2,0,11:30:00,11:30:00,2,M,2017-12-16
B3,1,13:30:00,13:00:00,6,F,2017-12-16
B4,0,15:00:00,15:00:00,3,M,2017-12-16
B5,0,16:30:00,16:30:00,0,F,2017-12-16
G1,0,10:00:00,10:00:00,1,M,2017-12-16
G2,0,11:30:00,11:30:00,2,F,2017-12-16
G3,0,13:00:00,13:00:00,4,M,2017-12-16
G4,1,15:00:00,14:30:00,3,F,2017-12-16
G5,0,16:30:00,16:30:00,0,M,2017-12-16
B1,0,10:00:00,10:00:00,1,F,2017-12-23
B2,0,11:30:00,11:30:00,2,M,2017-12-23
B3,1,13:30:00,13:00:00,6,F,2017-12-23
B4,0,15:00:00,15:00:00,3,M,2017-12-23
B5,0,16:30:00,16:30:00,0,F,2017-12-23
G1,0,10:00:00,10:00:00,1,M,2017-12-23
G2,0,11:30:00,11:30:00,2,F,2017-12-23
G3,0,13:00:00,13:00:00,4,M,2017-12-23
G4,1,15:00:00,14:30:00,3,F,2017-12-23
G5,0,16:30:00,16:30:00,0,M,2017-12-23
B1,0,10:00:00,10:00:00,1,F,2017-12-30
B2,0,11:30:00,11:30:00,2,M,2017-12-30
B3,1,13:30:00,13:00:00,6,F,2017-12-30
B4,0,15:00:00,15:00:00,3,M,2017-12-30
B5,0,16:30:00,16:30:00,0,F,2017-12-30
G1,0,10:00:00,10:00:00,1,M,2017-12-30
G2,0,11:30:00,11:30:00,2,F,2017-12-30
G3,0,13:00:00,13:00:00,4,M,2017-12-30
G4,1,15:00:00,14:30:00,3,F,2017-12-30
G5,0,16:30:00,16:30:00,0,M,2017-12-30
B1,0,10:00:00,10:00:00,1,F,2018-01-06
B2,0,11:30:00,11:30:00,2,M,2018-01-06
B3,1,13:30:00,13:00:00,6,F,2018-01-06
B4,0,15:00:00,15:00:00,3,M,2018-01-06
B5,0,16:30:00,16:30:00,0,F,2018-01-06
G1,0,10:00:00,10:00:00,1,M,2018-01-06
G2,0,11:30:00,11:30:00,2,F,2018-01-06
G3,0,13:00:00,13:00:00,4,M,2018-01-06
G4,1,15:00:00,14:30:00,3,F,2018-01-06
G5,0,16:30:00,16:30:00,0,M,2018-01-06
B1,0,10:00:00,10:00:00,1,F,2018-01-13
B2,0,11:30:00,11:30:00,2,M,2018-01-13
B3,1,13:30:00,13:00:00,6,F,2018-01-13
B4,0,15:00:00,15:00:00,3,M,2018-01-13
B5,0,16:30:00,16:30:00,0,F,2018-01-13
G1,0,10:00:00,10:00:00,1,M,2018-01-13
G2,0,11:30:00,11:30:00,2,F,2018-01-13
G3,0,13:00:00,13:00:00,4,M,2018-01-13
G4,1,15:00:00,14:30:00,3,F,2018-01-13
G5,0,16:30:00,16:30:00,0,M,2018-01-13
B1,0,10:00:00,10:00:00,1,F,2018-01-20
B2,0,11:30:00,11:30:00,2,M,2018-01-20
B3,1,13:30:00,13:00:00,6,F,2018-01-20
B4,0,15:00:00,15:00:00,3,M,2018-01-20
B5,0,16:30:00,16:30:00,0,F,2018-01-20
G1,0,10:00:00,10:00:00,1,M,2018-01-20
G2,0,11:30:00,11:30:00,2,F,2018-01-20
G3,0,13:00:00,13:00:00,4,M,2018-01-20
G4,1,15:00:00,14:30:00,3,F,2018-01-20
G5,0,16:30:00,16:30:00,0,M,2018-01-20
B1,0,10:00:00,10:00:00,1,F,2018-01-27
B2,0,11:30:00,11:30:00,2,M,2018-01-27
B3,1,13:30:00,13:00:00,6,F,2018-01-27
B4,0,15:00:00,15:00:00,3,M,2018-01-27
B5,0,16:30:00,16:30:00,0,F,2018-01-27
G1,0,10:00:00,10:00:00,1,M,2018-01-27
G2,0,11:30:00,11:30:00,2,F,2018-01-27
G3,0,13:00:00,13:00:00,4,M,2018-01-27
G4,1,15:00:00,14:30:00,3,F,2018-01-27
G5,0,16:30:00,16:30:00,0,M,2018-01-27
B1,0,10:00:00,10:00:00,1,F,2018-02-03
B2,0,11:30:00,11:30:00,2,M,2018-02-03
B3,1,13:30:00,13:00:00,6,F,2018-02-03
B4,0,15:00:00,15:00:00,3,M,2018-02-03
B5,0,16:30:00,16:30:00,0,F,2018-02-03
G1,0,10:00:00,10:00:00,1,M,2018-02-03
G2,0,11:30:00,11:30:00,2,F,2018-02-03
G3,0,13:00:00,13:00:00,4,M,2018-02-03
G4,1,15:00:00,14:30:00,3,F,2018-02-03
G5,0,16:30:00,16:30:00,0,M,2018-02-03
B1,0,10:00:00,10:00:00,1,F,2018-02-10
B2,0,11:30:00,11:30:00,2,M,2018-02-10
B3,1,13:30:00,13:00:00,6,F,2018-02-10
B4,0,15:00:00,15:00:00,3,M,2018-02-10
B5,0,16:30:00,16:30:00,0,F,2018-02-10
G1,0,10:00:00,10:00:00,1,M,2018-02-10
G2,0,11:30:00,11:30:00,2,F,2018-02-10
G3,0,13:00:00,13:00:00,4,M,2018-02-10
G4,1,15:00:00,14:30:00,3,F,2018-02-10
G5,0,16:30:00,16:30:00,0,M,2018-02-10
B1,0,10:00:00,10:00:00,1,F,2018-02-17
B2,0,11:30:00,11:30:00,2,M,2018-02-17
B3,1,13:30:00,13:00:00,6,F,2018-02-17
B4,0,15:00:00,15:00:00,3,M,2018-02-17
B5,0,16:30:00,16:30:00,0,F,2018-02-17
G1,0,10:00:00,10:00:00,1,M,2018-02-17
G2,0,11:30:00,11:30:00,2,F,2018-02-17
G3,0,13:00:00,13:00:00,4,M,2018-02-17
G4,1,15:00:00,14:30:00,3,F,2018-02-17
G5,0,16:30:00,16:30:00,0,M,2018-02-17
B1,0,10:00:00,10:00:00,1,F,2018-02-24
B2,0,11:30:00,11:30:00,2,M,2018-02-24
B3,1,13:30:00,13:00:00,6,F,2018-02-24
B4,0,15:00:00,15:00:00,3,M,2018-02-24
B5,0,16:30:00,16:30:00,0,F,2018-02-24
G1,0,10:00:00,10:00:00,1,M,2018-02-24
G2,0,11:30:00,11:30:00,2,F,2018-02-24
G3,0,13:00:00,13:00:00,4,M,2018-02-24
G4,1,15:00:00,14:30:00,3,F,2018-02-24
G5,0,16:30:00,16:30:00,0,M,2018-02-24
B1,0,10:00:00,10:00:00,1,F,2018-03-03
B2,0,11:30:00,11:30:00,2,M,2018-03-03
B3,1,13:30:00,13:00:00,6,F,2018-03-03
B4,0,15:00:00,15:00:00,3,M,2018-03-03
